x,f
0,0
1,2
2,4
3,6
4,8
5,10
6,12
7,14
8,16
9,18
10,20
11,22
12,24
13,26
14,28
15,30
16,32
17,34
18,36
19,38
20,40
21,42
22,44
23,46
24,48
25,50
26,52
27,54
28,56
29,58
30,60
31,62
32,64
33,66
34,68
35,70
36,72
37,74
38,76
39,78
40,80
41,80.2
42,80.4
43,80.6
44,80.8
45,81
46,81.2
47,81.4
48,81.6
49,81.8
50,82
51,82.2
52,82.4
53,82.6
54,82.8
55,83
56,83.2
57,83.4
58,83.6
59,83.8
60,84
61,84.2
62,84.4
63,84.6
64,84.8
65,85
66,85.2
67,85.4
68,85.6
69,85.8
70,86
71,86.2
72,86.4
73,86.6
74,86.8
75,87
76,87.2
77,87.4
78,87.6
79,87.8
80,88
81,88.2
82,88.4
83,88.6
84,88.8
85,89
86,89.2
87,89.4
88,89.6
89,89.8
90,90
91,90.2
92,90.4
93,90.6
94,90.8
95,91
96,91.2
97,91.4
98,91.6
99,91.8
100,92
100,92
98,89.22742063
96,86.45484125
94,83.68226188
92,80.90968251
90,78.13710314
88,75.36452376
86,72.59194439
84,69.81936502
82,67.04678565
80,64.27420627
78,61.5016269
76,58.72904753
74,55.95646816
72,53.18388878
70,50.41130941
68,47.63873004
66,44.86615067
64,42.09357129
62,39.32099192
60,36.54841255
58,33.77583317
56,31.0032538
54,28.23067443
52,25.45809506
50,22.68551568
48,19.91293631
46,17.14035694
44,14.36777757
42,11.59519819
40,8.822618821
38,6.050039449
36,3.277460076
34,0.504880704
32,-1.777183633
30,-3.950039643
28,-6.122895653
26,-8.295751664
24,-10.46860767
22,-12.64146368
20,-14.81431969
18,-16.9871757
16,-19.16003171
14,-21.33288772
12,-23.50574374
10,-25.67859975
8,-27.85145576
6,-30.02431177
4,-32.19716778
2,-34.37002379
0,-36.5428798
-2,-38.71573581
-4,-40.88859182
-6,-43.06144783
-8,-45.23430384
-10,-47.40715985
-12,-49.58001586
-14,-51.75287187
-16,-53.92572788
-18,-56.09858389
-20,-58.2714399
-22,-60.44429591
-24,-62.61715192
-26,-64.79000793
-28,-66.96286394
-30,-69.13571995
-32,-71.30857596
-34,-73.48143197
-36,-75.65428798
-38,-77.82714399
-40,-80
-42,-80.4
-44,-80.8
-46,-81.2
-48,-81.6
-50,-82
-52,-82.4
-54,-82.8
-56,-83.2
-58,-83.6
-60,-84
-62,-84.4
-64,-84.8
-66,-85.2
-68,-85.6
-70,-86
-72,-86.4
-74,-86.8
-76,-87.2
-78,-87.6
-80,-88
-82,-88.4
-84,-88.8
-86,-89.2
-88,-89.6
-90,-90
-92,-90.4
-94,-90.8
-96,-91.2
-98,-91.6
-100,-92
-100,-92
-97.5,-88.53427578
-95,-85.06855157
-92.5,-81.60282735
-90,-78.13710314
-87.5,-74.67137892
-85,-71.20565471
-82.5,-67.73993049
-80,-64.27420627
-77.5,-60.80848206
-75,-57.34275784
-72.5,-53.87703363
-70,-50.41130941
-67.5,-46.94558519
-65,-43.47986098
-62.5,-40.01413676
-60,-36.54841255
-57.5,-33.08268833
-55,-29.61696412
-52.5,-26.1512399
-50,-22.68551568
-47.5,-19.21979147
-45,-15.75406725
-42.5,-12.28834304
-40,-8.822618821
-37.5,-5.356894606
-35,-1.89117039
-32.5,0.78193115
-30,2.503026789
-27.5,4.224122428
-25,5.945218066
-22.5,7.666313705
-20,9.387409344
-17.5,11.10850498
-15,12.82960062
-12.5,14.55069626
-10,16.2717919
-7.5,17.99288754
-5,19.71398318
-2.5,21.43507881
0,23.15617445
2.5,24.87727009
5,26.59836573
7.5,28.31946137
10,30.04055701
12.5,31.76165265
15,33.48274829
17.5,35.20384392
20,36.92493956
22.5,38.6460352
25,40.36713084
27.5,42.08822648
30,43.80932212
32.5,45.53041776
35,47.25151339
37.5,48.97260903
40,50.69370467
42.5,52.41480031
45,54.13589595
47.5,55.85699159
50,57.57808723
52.5,59.29918287
55,61.0202785
57.5,62.74137414
60,64.46246978
62.5,66.18356542
65,67.90466106
67.5,69.6257567
70,71.34685234
72.5,73.06794797
75,74.78904361
77.5,76.51013925
80,78.23123489
82.5,79.95233053
85,81.67342617
87.5,83.39452181
90,85.11561745
92.5,86.83671308
95,88.55780872
97.5,90.27890436
100,92
102.5,92.5
105,93
107.5,93.5
110,94
112.5,94.5
115,95
117.5,95.5
120,96
122.5,96.5
125,97
127.5,97.5
130,98
132.5,98.5
135,99
137.5,99.5
140,100
142.5,100.5
145,101
147.5,101.5
150,102
150,102
147.5,99.05315362
145,96.10630723
142.5,93.15946085
140,90.21261446
137.5,87.26576808
135,84.31892169
132.5,81.37207531
130,78.42522892
127.5,75.47838254
125,72.53153615
122.5,69.58468977
120,66.63784338
117.5,63.690997
115,60.74415061
112.5,57.79730423
110,54.85045784
107.5,51.90361146
105,48.95676507
102.5,46.00991869
100,43.0630723
97.5,40.11622592
95,37.16937953
92.5,34.22253315
90,31.27568676
87.5,28.32884038
85,25.38199399
82.5,22.43514761
80,19.48830123
77.5,16.54145484
75,13.59460846
72.5,10.64776207
70,7.700915686
67.5,4.754069301
65,1.807222917
62.5,-0.544129308
60,-1.951142704
57.5,-3.358156099
55,-4.765169494
52.5,-6.172182889
50,-7.579196285
47.5,-8.98620968
45,-10.39322308
42.5,-11.80023647
40,-13.20724987
37.5,-14.61426326
35,-16.02127666
32.5,-17.42829005
30,-18.83530345
27.5,-20.24231684
25,-21.64933024
22.5,-23.05634363
20,-24.46335703
17.5,-25.87037042
15,-27.27738382
12.5,-28.68439721
10,-30.09141061
7.5,-31.498424
5,-32.9054374
2.5,-34.31245079
0,-35.71946419
-2.5,-37.12647759
-5,-38.53349098
-7.5,-39.94050438
-10,-41.34751777
-12.5,-42.75453117
-15,-44.16154456
-17.5,-45.56855796
-20,-46.97557135
-22.5,-48.38258475
-25,-49.78959814
-27.5,-51.19661154
-30,-52.60362493
-32.5,-54.01063833
-35,-55.41765172
-37.5,-56.82466512
-40,-58.23167851
-42.5,-59.63869191
-45,-61.0457053
-47.5,-62.4527187
-50,-63.85973209
-52.5,-65.26674549
-55,-66.67375889
-57.5,-68.08077228
-60,-69.48778568
-62.5,-70.89479907
-65,-72.30181247
-67.5,-73.70882586
-70,-75.11583926
-72.5,-76.52285265
-75,-77.92986605
-77.5,-79.33687944
-80,-80.74389284
-82.5,-82.15090623
-85,-83.55791963
-87.5,-84.96493302
-90,-86.37194642
-92.5,-87.77895981
-95,-89.18597321
-97.5,-90.5929866
-100,-92
-100,-92
-98,-89.22742063
-96,-86.45484125
-94,-83.68226188
-92,-80.90968251
-90,-78.13710314
-88,-75.36452376
-86,-72.59194439
-84,-69.81936502
-82,-67.04678565
-80,-64.27420627
-78,-61.5016269
-76,-58.72904753
-74,-55.95646816
-72,-53.18388878
-70,-50.41130941
-68,-47.63873004
-66,-44.86615067
-64,-42.09357129
-62,-39.32099192
-60,-36.54841255
-58,-33.77583317
-56,-31.0032538
-54,-28.23067443
-52,-25.45809506
-50,-22.68551568
-48,-19.91293631
-46,-17.14035694
-44,-14.36777757
-42,-11.59519819
-40,-8.822618821
-38,-6.050039449
-36,-3.277460076
-34,-0.504880704
-32,0.908602993
-30,2.019497466
-28,3.130391938
-26,4.241286411
-24,5.352180884
-22,6.463075356
-20,7.573969829
-18,8.684864301
-16,9.795758774
-14,10.90665325
-12,12.01754772
-10,13.12844219
-8,14.23933666
-6,15.35023114
-4,16.46112561
-2,17.57202008
0,18.68291455
2,19.79380903
4,20.9047035
6,22.01559797
8,23.12649245
10,24.23738692
12,25.34828139
14,26.45917586
16,27.57007034
18,28.68096481
20,29.79185928
22,30.90275375
24,32.01364823
26,33.1245427
28,34.23543717
30,35.34633164
32,36.45722612
34,37.56812059
36,38.67901506
38,39.78990953
40,40.90080401
42,42.01169848
44,43.12259295
46,44.23348742
48,45.3443819
50,46.45527637
52,47.56617084
54,48.67706532
56,49.78795979
58,50.89885426
60,52.00974873
62,53.12064321
64,54.23153768
66,55.34243215
68,56.45332662
70,57.5642211
72,58.67511557
74,59.78601004
76,60.89690451
78,62.00779899
80,63.11869346
82,64.22958793
84,65.3404824
86,66.45137688
88,67.56227135
90,68.67316582
92,69.78406029
94,70.89495477
96,72.00584924
98,73.11674371
100,74.22763818
100,74.22763818
99.9,74.08900922
99.8,73.95038025
99.7,73.81175128
99.6,73.67312231
99.5,73.53449334
99.4,73.39586437
99.3,73.2572354
99.2,73.11860644
99.1,72.97997747
99,72.8413485
98.9,72.70271953
98.8,72.56409056
98.7,72.42546159
98.6,72.28683262
98.5,72.14820366
98.4,72.00957469
98.3,71.87094572
98.2,71.73231675
98.1,71.59368778
98,71.45505881
97.9,71.31642984
97.8,71.17780088
97.7,71.03917191
97.6,70.90054294
97.5,70.76191397
97.4,70.623285
97.3,70.48465603
97.2,70.34602706
97.1,70.20739809
97,70.06876913
96.9,69.93014016
96.8,69.79151119
96.7,69.65288222
96.6,69.51425325
96.5,69.37562428
96.4,69.23699531
96.3,69.09836635
96.2,68.95973738
96.1,68.82110841
96,68.68247944
95.9,68.54385047
95.8,68.4052215
95.7,68.26659253
95.6,68.12796357
95.5,67.9893346
95.4,67.85070563
95.3,67.71207666
95.2,67.57344769
95.1,67.43481872
95,67.29618975
94.9,67.15756078
94.8,67.01893182
94.7,66.88030285
94.6,66.74167388
94.5,66.60304491
94.4,66.46441594
94.3,66.32578697
94.2,66.187158
94.1,66.04852904
94,65.90990007
93.9,65.7712711
93.8,65.63264213
93.7,65.49401316
93.6,65.35538419
93.5,65.21675522
93.4,65.07812626
93.3,64.93949729
93.2,64.80086832
93.1,64.66223935
93,64.52361038
92.9,64.38498141
92.8,64.24635244
92.7,64.10772347
92.6,63.96909451
92.5,63.83046554
92.4,63.69183657
92.3,63.5532076
92.2,63.41457863
92.1,63.27594966
92,63.13732069
91.9,62.99869173
91.8,62.86006276
91.7,62.72143379
91.6,62.58280482
91.5,62.44417585
91.4,62.30554688
91.3,62.16691791
91.2,62.02828895
91.1,61.88965998
91,61.75103101
90.9,61.61240204
90.8,61.47377307
90.7,61.3351441
90.6,61.19651513
90.5,61.05788617
90.4,60.9192572
90.3,60.78062823
90.2,60.64199926
90.1,60.50337029
90,60.36474132
90,60.36474132
91.1,61.88965998
92.2,63.41457863
93.3,64.93949729
94.4,66.46441594
95.5,67.9893346
96.6,69.51425325
97.7,71.03917191
98.8,72.56409056
99.9,74.08900922
101,74.78308542
102.1,75.39407738
103.2,76.00506934
104.3,76.6160613
105.4,77.22705326
106.5,77.83804522
107.6,78.44903718
108.7,79.06002914
109.8,79.6710211
110.9,80.28201306
112,80.89300502
113.1,81.50399698
114.2,82.11498894
115.3,82.7259809
116.4,83.33697286
117.5,83.94796482
118.6,84.55895678
119.7,85.16994874
120.8,85.7809407
121.9,86.39193266
123,87.00292462
124.1,87.61391658
125.2,88.22490854
126.3,88.8359005
127.4,89.44689246
128.5,90.05788442
129.6,90.66887638
130.7,91.27986834
131.8,91.8908603
132.9,92.50185226
134,93.11284422
135.1,93.72383618
136.2,94.33482814
137.3,94.9458201
138.4,95.55681206
139.5,96.16780402
140.6,96.77879598
141.7,97.38978794
142.8,98.0007799
143.9,98.61177186
145,99.22276382
146.1,99.83375578
147.2,100.4447477
148.3,101.0557397
149.4,101.6667317
150.5,102.1
151.6,102.32
152.7,102.54
153.8,102.76
154.9,102.98
156,103.2
157.1,103.42
158.2,103.64
159.3,103.86
160.4,104.08
161.5,104.3
162.6,104.52
163.7,104.74
164.8,104.96
165.9,105.18
167,105.4
168.1,105.62
169.2,105.84
170.3,106.06
171.4,106.28
172.5,106.5
173.6,106.72
174.7,106.94
175.8,107.16
176.9,107.38
178,107.6
179.1,107.82
180.2,108.04
181.3,108.26
182.4,108.48
183.5,108.7
184.6,108.92
185.7,109.14
186.8,109.36
187.9,109.58
189,109.8
190.1,110.02
191.2,110.24
192.3,110.46
193.4,110.68
194.5,110.9
195.6,111.12
196.7,111.34
197.8,111.56
198.9,111.78
200,112
